id,make_id,model_id,submodel_id,trim_id,year,make,model,series,submodel,trim,trim_description,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission
23523,22,4779,65271,23523,2015,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),hybrid,regular unleaded,I4,2.5,200,5700.0,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23524,22,4779,65272,23524,2015,Toyota,Camry,,Hybrid SE,SE,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),hybrid,regular unleaded,I4,2.5,200,5700.0,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23525,22,4779,65273,23525,2015,Toyota,Camry,,Hybrid XLE,XLE,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),hybrid,regular unleaded,I4,2.5,200,5700.0,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23517,22,4779,65274,23517,2015,Toyota,Camry,,LE,LE,LE 4dr Sedan (2.5L 4cyl 6A),gas,regular unleaded,I4,2.5,178,6000.0,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
23518,22,4779,65275,23518,2015,Toyota,Camry,,SE,SE,SE 4dr Sedan (2.5L 4cyl 6A),gas,regular unleaded,I4,2.5,178,6000.0,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
23521,22,4779,65276,23521,2015,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (2.5L 4cyl 6A),gas,regular unleaded,I4,2.5,178,6000.0,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
23522,22,4779,65276,23522,2015,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,268,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
23519,22,4779,65277,23519,2015,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 6A),gas,regular unleaded,I4,2.5,178,6000.0,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
23520,22,4779,65277,23520,2015,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (3.5L 6cyl 6A),gas,regular unleaded,V6,3.5,268,6200.0,248.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic
20693,22,4779,66829,20693,2016,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),hybrid,regular unleaded,I4,2.5,200,5700.0,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23526,22,3917,65278,23526,2015,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl 6M),gas,regular unleaded,I4,1.8,132,6000.0,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual
23527,22,3917,65278,23527,2015,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl 4A),gas,regular unleaded,I4,1.8,132,6000.0,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,4-speed automatic
23528,22,3917,65279,23528,2015,Toyota,Corolla,,LE,LE,LE 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,132,6000.0,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23530,22,3917,65279,23530,2015,Toyota,Corolla,,LE,LE Plus,LE Plus 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,132,6000.0,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23535,22,3917,65279,23535,2015,Toyota,Corolla,,LE,LE Premium,LE Premium 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,132,6000.0,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23529,22,3917,65280,23529,2015,Toyota,Corolla,,LE Eco,LE Eco,LE Eco 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,140,6100.0,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23532,22,3917,65280,23532,2015,Toyota,Corolla,,LE Eco,LE Eco Plus,LE Eco Plus 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,140,6100.0,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23536,22,3917,65280,23536,2015,Toyota,Corolla,,LE Eco,LE Eco Premium,LE Eco Premium 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,140,6100.0,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23531,22,3917,65281,23531,2015,Toyota,Corolla,,S,S,S 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,132,6000.0,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23533,22,3917,65281,23533,2015,Toyota,Corolla,,S,S Plus,S Plus 4dr Sedan (1.8L 4cyl CVT),gas,regular unleaded,I4,1.8,132,6000.0,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic
23600,22,5688,65309,23600,2015,Toyota,Tacoma,,Base,Base,4dr Access Cab 6.1 ft. SB (2.7L 4cyl 5M),gas,regular unleaded,I4,2.7,159,5200.0,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed manual
23601,22,5688,65309,23601,2015,Toyota,Tacoma,,Base,Base,4dr Access Cab 6.1 ft. SB (2.7L 4cyl 4A),gas,regular unleaded,I4,2.7,159,5200.0,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,4-speed automatic
23602,22,5688,65309,23602,2015,Toyota,Tacoma,,Base,Base,4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),gas,regular unleaded,I4,2.7,159,5200.0,180.0,3800.0,16,Variable,Double overhead cam (DOHC),four wheel drive,5-speed manual
23603,22,5688,65309,23603,2015,Toyota,Tacoma,,Base,Base,4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 4A),gas,regular unleaded,I4,2.7,159,5200.0,180.0,3800.0,16,Variable,Double overhead cam (DOHC),four wheel drive,4-speed automatic
23606,22,5688,65309,23606,2015,Toyota,Tacoma,,Base,V6,V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 6M),gas,regular unleaded,V6,4.0,236,5200.0,266.0,4000.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed manual
23607,22,5688,65309,23607,2015,Toyota,Tacoma,,Base,V6,V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),gas,regular unleaded,V6,4.0,236,5200.0,266.0,4000.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed automatic
23610,22,5688,65309,23610,2015,Toyota,Tacoma,,Base,Base,4dr Double Cab 5.0 ft. SB (2.7L 4cyl 4A),gas,regular unleaded,I4,2.7,159,5200.0,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,4-speed automatic
